date,time,level,direction
2026-06-01,14:50:00,139,down
2026-06-03,11:01:00,137,down
2026-06-04,09:20:00,139,up
2026-06-08,09:15:00,137,down
2026-06-10,09:17:00,139,up
2026-06-10,09:50:00,139,up
2026-06-10,09:52:00,139,up
2026-06-10,14:48:39,137,down
