date,time,level,direction
2026-06-02,09:15:00,95.7,down
2026-06-05,10:25:00,97.2,up
2026-06-08,09:15:00,95.7,down
2026-06-10,09:15:00,97.2,up
2026-06-10,14:36:28,95.7,down
