date,time,level,direction
2026-06-02,09:16:00,737,down
2026-06-02,10:59:00,745,up
2026-06-03,14:45:00,753,up
2026-06-08,09:15:00,745,down
2026-06-08,13:26:00,737,down
2026-06-10,09:58:00,745,up
2026-06-10,10:00:00,745,up
2026-06-10,12:48:49,745,up
2026-06-10,13:10:06,753,up
