date,time,level,direction
2026-06-05,23:57:00,570,down
2026-06-06,00:21:00,566,down
2026-06-06,00:24:00,562,down
2026-06-06,00:26:00,566,up
2026-06-06,00:29:00,562,down
2026-06-06,00:47:00,558,down
2026-06-06,00:54:00,562,up
2026-06-06,01:16:00,566,up
2026-06-06,01:39:00,570,up
2026-06-06,02:01:00,574,up
2026-06-06,02:32:00,578,up
2026-06-06,03:33:00,574,down
2026-06-06,05:02:00,570,down
2026-06-06,05:31:00,574,up
2026-06-06,06:57:00,578,up
2026-06-06,07:49:00,574,down
2026-06-06,08:19:00,578,up
2026-06-06,08:36:00,574,down
2026-06-06,09:37:00,570,down
2026-06-06,09:48:00,566,down
2026-06-06,10:00:00,562,down
2026-06-06,10:18:00,566,up
2026-06-06,10:32:00,562,down
2026-06-06,10:50:00,566,up
2026-06-06,10:52:00,570,up
2026-06-06,11:17:00,574,up
2026-06-06,11:33:00,578,up
2026-06-06,13:58:00,582,up
2026-06-06,15:17:00,578,down
2026-06-06,15:33:00,574,down
2026-06-07,06:38:00,578,up
2026-06-07,10:20:00,582,up
2026-06-07,10:54:00,586,up
2026-06-07,13:58:00,590,up
2026-06-07,14:09:00,594,up
2026-06-07,14:27:00,598,up
2026-06-07,15:05:00,594,down
2026-06-07,17:40:00,590,down
2026-06-07,18:12:00,586,down
2026-06-07,19:47:00,590,up
2026-06-07,22:03:00,594,up
2026-06-08,00:45:00,590,down
2026-06-08,02:21:00,594,up
2026-06-08,03:43:00,598,up
2026-06-08,03:44:00,606,up
2026-06-08,06:44:00,602,down
2026-06-08,09:49:00,598,down
2026-06-08,10:44:00,594,down
2026-06-08,14:35:00,598,up
2026-06-08,16:55:00,602,up
2026-06-08,17:44:00,598,down
2026-06-08,18:13:00,602,up
2026-06-08,21:42:00,606,up
2026-06-09,02:42:00,610,up
2026-06-09,03:43:00,606,down
2026-06-09,04:56:00,602,down
2026-06-09,05:54:00,598,down
2026-06-09,06:07:00,594,down
2026-06-09,07:01:00,598,up
2026-06-09,10:09:00,602,up
2026-06-09,15:43:00,598,down
2026-06-09,18:58:00,594,down
2026-06-09,19:48:00,590,down
2026-06-09,20:00:00,586,down
2026-06-09,20:37:00,590,up
2026-06-09,21:35:00,586,down
2026-06-09,22:33:00,590,up
2026-06-09,23:48:00,594,up
2026-06-10,01:44:00,598,up
2026-06-10,03:34:00,594,down
2026-06-10,07:45:00,590,down
2026-06-10,10:02:00,586,down
2026-06-10,11:24:11,586,up
